"id_ventil_task","id_agent","id_agent_creation","date_creation","type_chaine_paie","id_type_pointage","id_ventil_date_from","id_ventil_date_to","date_ventilation","task_status","version"
"77","9005179","9003742","2015-07-02T09:41:17.205","SHC","NULL","2","4","2015-07-02T09:43:54.572","OK","0"
"82","9004226","9003742","2015-07-02T09:41:17.229","SHC","NULL","2","4","2015-07-02T09:44:02.958","OK","0"
"86","9003392","9003742","2015-07-02T09:41:17.244","SHC","NULL","2","4","2015-07-02T09:44:08.492","OK","0"
"91","9003982","9003742","2015-07-02T09:41:17.258","SHC","NULL","2","4","2015-07-02T09:44:17.285","OK","0"
"95","9003718","9003742","2015-07-02T09:41:17.277","SHC","NULL","2","4","2015-07-02T09:44:22.341","OK","0"
"100","9004980","9003742","2015-07-02T09:41:17.305","SHC","NULL","2","4","2015-07-02T09:44:31.663","OK","0"
"105","9003006","9003742","2015-07-02T09:41:17.321","SHC","NULL","2","4","2015-07-02T09:44:40.301","OK","0"
"108","9004202","9003742","2015-07-02T09:46:13.558","SHC","NULL","2","4","2015-07-02T09:48:00.873","OK","0"
"109","9004750","9003742","2015-07-02T09:46:13.578","SHC","NULL","2","4","2015-07-02T09:48:01.396","OK","0"
"110","9004365","9003742","2015-07-02T09:46:13.593","SHC","NULL","2","4","2015-07-02T09:48:03.301","OK","0"
"111","9004483","9003742","2015-07-02T09:46:13.619","SHC","NULL","2","4","2015-07-02T09:48:03.551","OK","0"
"112","9004476","9003742","2015-07-02T09:46:13.629","SHC","NULL","2","4","2015-07-02T09:48:04.483","OK","0"
"113","9005253","9003742","2015-07-02T09:46:13.666","SHC","NULL","2","4","2015-07-02T09:48:05.559","OK","0"
"114","9005170","9003742","2015-07-02T09:46:13.673","SHC","NULL","2","4","2015-07-02T09:48:07.381","OK","0"
"115","9004564","9003742","2015-07-02T09:46:13.704","SHC","NULL","2","4","2015-07-02T09:48:07.640","OK","0"
"116","9005384","9003742","2015-07-02T09:46:13.713","SHC","NULL","2","4","2015-07-02T09:48:07.840","OK","0"
"117","9005013","9003742","2015-07-02T09:46:13.726","SHC","NULL","2","4","2015-07-02T09:48:08.377","OK","0"
"118","9004187","9003742","2015-07-02T09:46:13.749","SHC","NULL","2","4","2015-07-02T09:48:08.996","OK","0"
"119","9005307","9003742","2015-07-02T10:13:29.792","SHC","NULL","2","4","2015-07-02T10:14:00.762","OK","0"
"120","9003397","9003742","2015-07-02T10:13:29.805","SHC","NULL","2","4","2015-07-02T10:14:02.592","OK","0"
"121","9003785","9003742","2015-07-02T10:13:29.808","SHC","NULL","2","4","2015-07-02T10:14:03.765","OK","0"
"122","9004373","9003742","2015-07-02T10:13:29.810","SHC","NULL","2","4","2015-07-02T10:14:05.845","OK","0"
"123","9003338","9003742","2015-07-02T10:13:29.814","SHC","NULL","2","4","2015-07-02T10:14:06.411","OK","0"
"124","9005317","9003742","2015-07-02T10:13:29.816","SHC","NULL","2","4","2015-07-02T10:14:07.927","OK","0"
"125","9003983","9003742","2015-07-02T10:13:29.820","SHC","NULL","2","4","2015-07-02T10:14:09.399","OK","0"
"126","9004981","9003742","2015-07-02T10:13:29.823","SHC","NULL","2","4","2015-07-02T10:14:11.184","OK","0"
"127","9004986","9003742","2015-07-02T10:13:29.826","SHC","NULL","2","4","2015-07-02T10:14:13.577","OK","0"
"128","9003085","9003742","2015-07-02T10:13:29.830","SHC","NULL","2","4","2015-07-02T10:14:14.891","OK","0"
"129","9004798","9003742","2015-07-02T10:13:29.834","SHC","NULL","2","4","2015-07-02T10:14:17.191","OK","0"
"130","9003781","9003742","2015-07-02T10:13:29.837","SHC","NULL","2","4","2015-07-02T10:14:18.450","OK","0"
"131","9003674","9003742","2015-07-02T10:13:29.840","SHC","NULL","2","4","2015-07-02T10:14:18.668","OK","0"
"132","9004231","9003742","2015-07-02T10:13:29.842","SHC","NULL","2","4","2015-07-02T10:14:20.651","OK","0"
"133","9003373","9003742","2015-07-02T10:13:29.845","SHC","NULL","2","4","2015-07-02T10:14:21.546","OK","0"
"134","9003377","9003742","2015-07-02T10:13:29.849","SHC","NULL","2","4","2015-07-02T10:14:22.516","OK","0"
"135","9002963","9003742","2015-07-02T10:13:29.852","SHC","NULL","2","4","2015-07-02T10:14:22.989","OK","0"
"136","9005315","9003742","2015-07-02T10:13:29.854","SHC","NULL","2","4","2015-07-02T10:14:24.445","OK","0"
"137","9003714","9003742","2015-07-02T10:13:29.859","SHC","NULL","2","4","2015-07-02T10:14:26.203","OK","0"
"138","9003412","9003742","2015-07-02T10:13:29.862","SHC","NULL","2","4","2015-07-02T10:14:27.604","OK","0"
"139","9005077","9003742","2015-07-02T10:13:29.865","SHC","NULL","2","4","2015-07-02T10:14:29.803","OK","0"
"140","9004737","9003742","2015-07-02T10:13:29.868","SHC","NULL","2","4","2015-07-02T10:14:30.083","OK","0"
"141","9004647","9003742","2015-07-02T10:13:29.871","SHC","NULL","2","4","2015-07-02T10:14:30.444","OK","0"
"142","9004223","9003742","2015-07-02T10:13:29.873","SHC","NULL","2","4","2015-07-02T10:14:32.725","OK","0"
"143","9004377","9003742","2015-07-02T10:13:29.876","SHC","NULL","2","4","2015-07-02T10:14:35.243","OK","0"
"144","9004801","9003742","2015-07-02T10:13:29.880","SHC","NULL","2","4","2015-07-02T10:14:36.785","OK","0"
"145","9004233","9003742","2015-07-02T10:13:29.882","SHC","NULL","2","4","2015-07-02T10:14:38.386","OK","0"
"146","9003513","9003742","2015-07-02T10:13:29.885","SHC","NULL","2","4","2015-07-02T10:14:39.821","OK","0"
"147","9004511","9003742","2015-07-02T10:13:29.891","SHC","NULL","2","4","2015-07-02T10:14:40.226","OK","0"
"148","9003779","9003742","2015-07-02T10:13:29.893","SHC","NULL","2","4","2015-07-02T10:14:42.230","OK","0"
"149","9003372","9003742","2015-07-02T10:13:29.895","SHC","NULL","2","4","2015-07-02T10:14:43.447","OK","0"
"150","9004979","9003742","2015-07-02T10:13:29.898","SHC","NULL","2","4","2015-07-02T10:14:44.591","OK","0"
"151","9003146","9003742","2015-07-02T10:13:29.901","SHC","NULL","2","4","2015-07-02T10:14:45.742","OK","0"
"152","9003162","9003742","2015-07-02T10:13:29.905","SHC","NULL","2","4","2015-07-02T10:14:47.039","OK","0"
"153","9004985","9003742","2015-07-02T10:13:29.910","SHC","NULL","2","4","2015-07-02T10:14:48.345","OK","0"
"154","9004984","9003742","2015-07-02T10:13:29.916","SHC","NULL","2","4","2015-07-02T10:14:50.552","OK","0"
"156","9002995","9003742","2015-07-02T10:13:29.926","SHC","NULL","2","4","2015-07-02T10:14:52.346","OK","0"
"157","9004996","9003742","2015-07-02T10:13:29.928","SHC","NULL","2","4","2015-07-02T10:14:53.740","OK","0"
"158","9003793","9003742","2015-07-02T10:13:29.930","SHC","NULL","2","4","2015-07-02T10:14:55.854","OK","0"
"159","9003398","9003742","2015-07-02T10:13:29.932","SHC","NULL","2","4","2015-07-02T10:14:57.240","OK","0"
"161","9003506","9003742","2015-07-02T10:13:29.938","SHC","NULL","2","4","2015-07-02T10:14:59.601","OK","0"
"162","9005312","9003742","2015-07-02T10:13:29.941","SHC","NULL","2","4","2015-07-02T10:15:06.295","OK","0"
"163","9003387","9003742","2015-07-02T10:13:29.943","SHC","NULL","2","4","2015-07-02T10:15:08.409","OK","0"
"165","9002903","9003742","2015-07-02T10:13:29.949","SHC","NULL","2","4","2015-07-02T10:15:09.786","OK","0"
"166","9005309","9003742","2015-07-02T10:13:29.951","SHC","NULL","2","4","2015-07-02T10:15:11.277","OK","0"
"167","9003790","9003742","2015-07-02T10:13:29.955","SHC","NULL","2","4","2015-07-02T10:15:12.721","OK","0"
"168","9005346","9003742","2015-07-02T10:13:29.957","SHC","NULL","2","4","2015-07-02T10:15:14.242","OK","0"
"170","9004987","9003742","2015-07-02T10:13:29.962","SHC","NULL","2","4","2015-07-02T10:15:16.734","OK","0"
"171","9003507","9003742","2015-07-02T10:13:30.004","SHC","NULL","2","4","2015-07-02T10:15:18.998","OK","0"
"172","9003975","9003742","2015-07-02T10:13:30.006","SHC","NULL","2","4","2015-07-02T10:15:19.812","OK","0"
"155","9003415","9003742","2015-07-02T10:13:29.921","SHC","NULL","2","4","2015-07-02T10:14:52.048","OK","0"
"160","9004148","9003742","2015-07-02T10:13:29.936","SHC","NULL","2","4","2015-07-02T10:14:58.284","OK","0"
"164","9003399","9003742","2015-07-02T10:13:29.945","SHC","NULL","2","4","2015-07-02T10:15:09.040","OK","0"
"169","9002790","9003742","2015-07-02T10:13:29.959","SHC","NULL","2","4","2015-07-02T10:15:14.719","OK","0"
"173","9005314","9003742","2015-07-02T10:13:30.009","SHC","NULL","2","4","2015-07-02T10:15:21.590","OK","0"
"174","9005325","9003742","2015-07-02T10:13:30.014","SHC","NULL","2","4","2015-07-02T10:15:22.568","OK","0"
"175","9004239","9003742","2015-07-02T10:13:30.016","SHC","NULL","2","4","2015-07-02T10:15:23.722","OK","0"
"176","9003970","9003742","2015-07-02T10:13:30.019","SHC","NULL","2","4","2015-07-02T10:15:24.348","OK","0"
"177","9003981","9003742","2015-07-02T10:13:30.021","SHC","NULL","2","4","2015-07-02T10:15:25.527","OK","0"
"178","9004936","9003742","2015-07-02T10:13:30.024","SHC","NULL","2","4","2015-07-02T10:15:27.662","OK","0"
"179","9004392","9003742","2015-07-02T10:13:30.026","SHC","NULL","2","4","2015-07-02T10:15:28.562","OK","0"
"180","9004553","9003742","2015-07-02T10:13:30.028","SHC","NULL","2","4","2015-07-02T10:15:31.431","OK","0"
"181","9003989","9003742","2015-07-02T10:13:30.030","SHC","NULL","2","4","2015-07-02T10:15:33.021","OK","0"
"182","9003789","9003742","2015-07-02T10:13:30.032","SHC","NULL","2","4","2015-07-02T10:15:34.464","OK","0"
