"id_droits_agent","id_agent","code_service","libelle_service","date_modification","version","id_service_ads"
"5527","9004437","DHAA","Direction des Services d'Incendie et de Secours","2015-06-23T07:28:18.068","2","NULL"
"5530","9005207","DHAA","Direction des Services d'Incendie et de Secours","2015-06-23T07:28:55.678","2","NULL"
"5533","9005435","DHAA","Direction des Services d'Incendie et de Secours","2015-06-23T07:29:44.500","2","NULL"
"5535","9003203","DHAA","Direction des Services d'Incendie et de Secours","2015-06-23T07:30:33.317","2","NULL"
"5537","9004197","DHAA","Direction des Services d'Incendie et de Secours","2015-06-23T07:31:09.563","2","NULL"
"5538","9003841","DHAA","Direction des Services d'Incendie et de Secours","2015-06-23T07:31:33.166","2","NULL"
"5539","9004271","DHAA","Direction des Services d'Incendie et de Secours","2015-06-23T07:31:53.964","2","NULL"
"5542","9004994","DHAA","Direction des Services d'Incendie et de Secours","2015-06-23T07:34:09.663","2","NULL"
"5545","9004972","DHAA","Direction des Services d'Incendie et de Secours","2015-06-23T07:34:56.396","2","NULL"
"5547","9003212","DHAA","Direction des Services d'Incendie et de Secours","2015-06-23T07:35:22.813","2","NULL"
"5549","9004422","DHAA","Direction des Services d'Incendie et de Secours","2015-06-23T07:35:56.691","2","NULL"
"5550","9005449","DHAA","Direction des Services d'Incendie et de Secours","2015-06-23T07:36:31.916","2","NULL"
"5416","9003845","EBCB","DB Section Administrative et Comptable","2015-06-18T14:46:44.724","5","NULL"
"5412","9002229","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-06-18T14:46:44.475","5","NULL"
"5248","9002990","DCCA","DSI Service Etudes et Développement","2015-06-05T09:51:11.062","2","NULL"
"5249","9002728","DCBA","DSI Service Infrastructure et Exploitation","2015-06-05T09:51:11.168","2","NULL"
"5250","9005677","DCAC","DSI Cellule Planification et Méthodes","2015-06-05T09:51:11.230","2","NULL"
"5251","9003070","DCAA","Direction des Systèmes d'Information","2015-06-05T09:51:11.293","2","NULL"
"5252","9003686","DCDA","DSI Service de l'Information Géographique","2015-06-05T09:51:11.351","2","NULL"
"5253","9005617","DCAA","Direction des Systèmes d'Information","2015-06-05T09:52:59.589","2","NULL"
"5588","9003464","DAGF","DPM Unité Sécurité Routière","2015-06-24T16:24:29.567","5","NULL"
"5586","9003796","DAGG","DPM Unité Voie Publique","2015-06-24T16:17:57.286","3","NULL"
"5590","9003411","DAGG","DPM Unité Voie Publique","2015-06-24T16:24:41.799","5","NULL"
"5589","9003780","DAGF","DPM Unité Sécurité Routière","2015-06-24T16:24:35.980","5","NULL"
"5241","9005170","DABB","SMP Section Secrétariat des Elus","2015-06-03T14:39:23.957","2","NULL"
"5247","9004856","DAJA","Sce Inspect.& Prévent. des Risques Environnementaux & Sanit.","2015-06-05T09:19:24.448","6","NULL"
"5235","9005680","DBAB","DF Pôle Administratif et Budgétaire","2015-06-03T07:27:42.744","4","NULL"
"5234","9005028","DBAB","DF Pôle Administratif et Budgétaire","2015-06-03T07:27:42.653","4","NULL"
"5209","9005414","DHAA","Direction des Services d'Incendie et de Secours","2015-06-02T16:04:59.927","12","NULL"
"5210","9004881","DAGA","Direction Police municipale","2015-06-02T16:05:00.012","9","NULL"
"5214","9003067","DGAA","Direction Aménagement de l'Espace & du Développement Urbain","2015-06-02T16:20:40.716","8","NULL"
"5413","9003165","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-06-18T14:46:44.537","5","NULL"
"4793","9004142","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.518","5","NULL"
"4795","9004145","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.518","5","NULL"
"4796","9004630","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.518","5","NULL"
"4797","9004314","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.518","5","NULL"
"4798","9005195","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","5","NULL"
"4799","9004732","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","5","NULL"
"4800","9004320","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","5","NULL"
"4821","9004186","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","5","NULL"
"4822","9004552","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","5","NULL"
"4823","9004481","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","5","NULL"
"5415","9004464","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-06-18T14:46:44.656","5","NULL"
"4824","9004631","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","5","NULL"
"4834","9004340","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","5","NULL"
"4835","9004143","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.520","5","NULL"
"4836","9003958","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.520","5","NULL"
"4837","9005096","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.520","5","NULL"
"5161","9005624","EBCF","DB Marché Municipal","2015-06-01T09:56:39.152","5","NULL"
"5417","9003095","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-06-18T14:46:44.790","5","NULL"
"5411","9002226","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-06-18T14:46:44.416","5","NULL"
"5414","9004243","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-06-18T14:46:44.598","5","NULL"
"5418","9003013","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-06-18T14:46:44.873","4","NULL"
"5583","9004233","DAGG","DPM Unité Voie Publique","2015-06-24T16:14:52.557","13","NULL"
"5192","9005630","DAAA","Secrétariat Général","2015-06-02T16:02:17.647","8","NULL"
"5211","9003334","DAAA","Secrétariat Général","2015-06-02T16:05:00.102","8","NULL"
"5212","9003495","DAAB","SG Section Administrative et Comptable","2015-06-02T16:06:22.738","8","NULL"
"5553","9003928","DAHA","Cellule Vie Economique","2015-06-23T13:50:56.204","6","NULL"
"5297","9003019","DHAA","Direction des Services d'Incendie et de Secours","2015-06-05T09:53:55.384","3","NULL"
"5404","9005500","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-06-18T14:46:43.959","4","NULL"
"3755","9004600","DAEA","Cellule de Prévention des Risques Urbains","2015-03-13T14:09:03.488","2","NULL"
"5159","9003189","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-06-01T09:55:51.619","4","NULL"
"5410","9003197","EBCB","DB Section Administrative et Comptable","2015-06-18T14:46:44.355","5","NULL"
"5435","9005663","EBCB","DB Section Administrative et Comptable","2015-06-18T14:46:45.963","5","NULL"
"5419","9005128","EBCB","DB Section Administrative et Comptable","2015-06-18T14:46:44.936","5","NULL"
"5420","9003618","EBCB","DB Section Administrative et Comptable","2015-06-18T14:46:45.000","5","NULL"
"5408","9003590","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-06-18T14:46:44.226","5","NULL"
