"id_ventil_hsup","id_ventil_date","id_agent","date_lundi","m_abs","m_hors_contrat","m_sup","m_sup_25","m_sup_50","m_djf","m_1_mai","m_nuit","m_normales","m_simples","m_composees","m_recuperees","m_sup_25_r","m_sup_50_r","m_djf_r","m_1_mai_r","m_nuit_r","m_normales_r","m_simples_r","m_composees_r","etat","version","m_abs_as400","m_rappel_service"
"821","6","9004233","2015-07-06T00:00:00.000","0","510","510","0","0","0","0","0","0","180","330","510","0","0","0","0","0","0","180","330","7","1","0","0"
"819","6","9003513","2015-07-06T00:00:00.000","0","270","270","0","0","0","0","90","0","180","0","270","0","0","0","0","90","0","180","0","7","1","0","0"
"820","6","9003513","2015-07-13T00:00:00.000","0","135","135","0","0","0","0","0","0","135","0","135","0","0","0","0","0","0","135","0","7","1","0","0"
"557","4","9003792","2015-06-01T00:00:00.000","0","60","60","0","0","0","0","0","0","60","0","60","0","0","0","0","0","0","60","0","7","1","0","0"
"558","4","9003792","2015-06-15T00:00:00.000","0","750","750","0","0","0","0","240","0","180","330","750","0","0","0","0","240","0","180","330","7","1","0","0"
"559","4","9003792","2015-06-22T00:00:00.000","0","75","75","0","0","0","0","75","0","0","0","75","0","0","0","0","75","0","0","0","7","1","0","0"
"565","4","9004685","2015-06-22T00:00:00.000","0","75","75","0","0","0","0","0","0","75","0","75","0","0","0","0","0","0","75","0","7","1","0","0"
"566","4","9003392","2015-06-01T00:00:00.000","0","690","690","0","0","0","0","0","0","180","510","690","0","0","0","0","0","0","180","510","7","1","0","0"
"567","4","9003392","2015-06-22T00:00:00.000","0","90","90","0","0","0","0","0","0","90","0","90","0","0","0","0","0","0","90","0","7","1","0","0"
"580","4","9003982","2015-06-01T00:00:00.000","0","180","180","0","0","0","0","0","0","180","0","180","0","0","0","0","0","0","180","0","7","1","0","0"
"581","4","9003982","2015-06-15T00:00:00.000","0","870","870","0","0","210","0","600","0","60","0","870","0","0","210","0","600","0","60","0","7","1","0","0"
"582","4","9003982","2015-06-22T00:00:00.000","0","120","120","0","0","0","0","0","0","120","0","120","0","0","0","0","0","0","120","0","7","1","0","0"
"585","4","9003374","2015-06-22T00:00:00.000","0","75","75","0","0","75","0","0","0","0","0","75","0","0","75","0","0","0","0","0","7","1","0","0"
"588","4","9003253","2015-06-08T00:00:00.000","0","75","75","0","0","0","0","0","0","75","0","75","0","0","0","0","0","0","75","0","7","1","0","0"
"589","4","9003253","2015-06-15T00:00:00.000","0","135","135","0","0","0","0","0","0","135","0","135","0","0","0","0","0","0","135","0","7","1","0","0"
"592","4","9002939","2015-06-01T00:00:00.000","0","300","300","0","0","0","0","0","0","180","120","300","0","0","0","0","0","0","180","120","7","1","0","0"
"593","4","9003525","2015-06-15T00:00:00.000","0","780","780","0","0","0","0","300","0","180","300","780","0","0","0","0","300","0","180","300","7","1","0","0"
"594","4","9003525","2015-06-22T00:00:00.000","0","660","660","0","0","0","0","180","0","180","300","660","0","0","0","0","180","0","180","300","7","1","0","0"
"595","4","9003382","2015-06-08T00:00:00.000","0","435","435","0","0","135","0","300","0","0","0","435","0","0","135","0","300","0","0","0","7","1","0","0"
"596","4","9003382","2015-06-15T00:00:00.000","0","720","720","0","0","0","0","240","0","180","300","720","0","0","0","0","240","0","180","300","7","1","0","0"
"597","4","9003382","2015-06-22T00:00:00.000","0","660","660","0","0","0","0","180","0","180","300","660","0","0","0","0","180","0","180","300","7","1","0","0"
"601","4","9003391","2015-06-01T00:00:00.000","0","540","540","0","0","0","0","0","0","180","360","540","0","0","0","0","0","0","180","360","7","1","0","0"
"602","4","9003391","2015-06-08T00:00:00.000","0","180","180","0","0","0","0","0","0","180","0","180","0","0","0","0","0","0","180","0","7","1","0","30"
"603","4","9003391","2015-06-15T00:00:00.000","0","180","180","0","0","0","0","0","0","180","0","180","0","0","0","0","0","0","180","0","7","1","0","0"
"604","4","9003391","2015-06-22T00:00:00.000","0","360","360","0","0","0","0","0","0","180","180","360","0","0","0","0","0","0","180","180","7","1","0","0"
"605","4","9003391","2015-06-29T00:00:00.000","0","270","270","0","0","0","0","0","0","180","90","270","0","0","0","0","0","0","180","90","7","1","0","0"
"609","4","9003006","2015-06-01T00:00:00.000","0","300","300","0","0","0","0","0","0","180","120","300","0","0","0","0","0","0","180","120","7","1","0","0"
"610","4","9003006","2015-06-22T00:00:00.000","0","120","120","0","0","0","0","0","0","120","0","120","0","0","0","0","0","0","120","0","7","1","0","0"
"613","4","9003255","2015-06-15T00:00:00.000","0","780","780","0","0","0","0","300","0","180","300","780","0","0","0","0","300","0","180","300","7","1","0","0"
"614","4","9003255","2015-06-22T00:00:00.000","0","660","660","0","0","0","0","180","0","180","300","660","0","0","0","0","180","0","180","300","7","1","0","0"
"571","4","9003388","2015-06-01T00:00:00.000","0","720","720","0","0","120","0","600","0","0","0","720","0","0","120","0","600","0","0","0","7","1","0","0"
"572","4","9003388","2015-06-08T00:00:00.000","0","420","420","0","0","0","0","300","0","120","0","420","0","0","0","0","300","0","120","0","7","1","0","0"
"573","4","9003388","2015-06-15T00:00:00.000","0","180","180","0","0","135","0","0","0","45","0","180","0","0","135","0","0","0","45","0","7","1","0","0"
"574","4","9003388","2015-06-22T00:00:00.000","0","465","465","0","0","75","0","300","0","90","0","465","0","0","75","0","300","0","90","0","7","1","0","0"
"575","4","9004276","2015-06-08T00:00:00.000","0","120","120","0","0","0","0","0","0","120","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"1019","7","9004447","2015-07-06T00:00:00.000","0","510","510","480","30","510","0","90","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"789","6","9003427","2015-06-29T00:00:00.000","0","90","0","0","0","0","0","0","90","0","0","90","0","0","0","0","0","90","0","0","7","1","960","0"
"790","6","9003427","2015-07-13T00:00:00.000","0","120","120","0","0","0","0","0","0","120","0","120","0","0","0","0","0","0","120","0","7","1","0","0"
