"id_droit","id_agent","date_modification","is_approbateur","is_operateur","id_agent_delegataire","id_droit_approbateur","version"
"1636","9004662","2015-06-25T08:34:28.192","false","true","NULL","1144","0"
"1637","9005360","2015-06-25T08:34:40.176","false","true","NULL","1144","0"
"1638","9004612","2015-06-25T08:39:45.583","false","true","NULL","1145","0"
"1712","9005129","2015-07-22T08:03:44.773","false","true","NULL","1452","0"
"1713","9004542","2015-07-22T08:04:34.067","false","true","NULL","1452","0"
"1318","9004125","2015-03-13T14:09:46.416","false","true","NULL","1124","0"
"1319","9003848","2015-03-13T14:09:46.416","false","true","NULL","1124","0"
"1325","9004421","2015-03-13T14:09:46.416","false","true","NULL","1046","0"
"1665","9003197","2015-06-29T15:29:29.390","false","true","NULL","1130","0"
"1328","9004274","2015-03-13T14:09:46.417","false","true","NULL","1118","0"
"1716","9003139","2015-07-22T08:22:35.428","false","true","NULL","1705","0"
"1654","9004335","2015-06-25T09:13:53.009","false","true","NULL","1144","0"
"1331","9005486","2015-03-13T14:09:46.417","false","true","NULL","1094","0"
"1655","9004612","2015-06-25T09:36:05.177","false","true","NULL","1129","0"
"1333","9004274","2015-03-13T14:09:46.417","false","true","NULL","1119","0"
"1334","9002987","2015-03-13T14:09:46.417","false","true","NULL","1111","0"
"1336","9005128","2015-03-13T14:09:46.417","false","true","NULL","1129","0"
"1337","9005360","2015-03-13T14:09:46.417","false","true","NULL","1129","0"
"1338","9004877","2015-03-13T14:09:46.417","false","true","NULL","1129","0"
"1339","9005324","2015-03-13T14:09:46.417","false","true","NULL","1129","0"
"1340","9003845","2015-03-13T14:09:46.417","false","true","NULL","1129","0"
"1341","9005360","2015-03-13T14:09:46.417","false","true","NULL","1147","0"
"1342","9004877","2015-03-13T14:09:46.417","false","true","NULL","1147","0"
"1343","9003623","2015-03-13T14:09:46.417","false","true","NULL","1072","0"
"1344","9005374","2015-03-13T14:09:46.417","false","true","NULL","1072","0"
"1345","9003631","2015-03-13T14:09:46.417","false","true","NULL","1126","0"
"1346","9004120","2015-03-13T14:09:46.418","false","true","NULL","1126","0"
"1661","9004122","2015-06-25T10:00:13.004","false","true","NULL","1620","0"
"1348","9003282","2015-03-13T14:09:46.418","false","true","NULL","1161","0"
"1349","9005418","2015-03-13T14:09:46.418","false","true","NULL","1161","0"
"1620","9005214","2015-06-24T14:05:46.189","true","false","9004122","NULL","1"
"1671","9003299","2015-06-30T07:10:20.514","false","true","NULL","1130","0"
"1717","9004055","2015-07-22T08:26:22.999","false","true","NULL","1702","0"
"1718","9003936","2015-07-22T08:27:00.188","false","true","NULL","1702","0"
"1720","9003139","2015-07-22T08:28:17.077","false","true","NULL","1094","0"
"1721","9005345","2015-07-22T08:29:41.954","false","true","NULL","1702","0"
"1725","9005672","2015-07-22T09:53:50.449","false","true","NULL","1153","0"
"1727","9004494","2015-07-22T10:50:46.831","false","true","NULL","1119","0"
"1730","9004959","2015-07-23T10:46:05.333","true","false","NULL","NULL","0"
"1120","9005414","2015-03-13T14:08:32.391","true","false","9005226","NULL","5"
"1536","9003232","2015-06-11T07:26:31.205","false","true","NULL","1153","0"
"1672","9004209","2015-06-30T10:41:26.012","false","true","NULL","1576","0"
"1677","9004209","2015-07-01T16:13:12.266","false","true","NULL","1078","0"
"1452","9004285","2015-04-01T16:10:41.440","true","false","9004737","NULL","2"
"1537","9005028","2015-06-11T07:53:17.225","false","true","NULL","1059","0"
"1678","9004541","2015-07-01T16:13:29.175","false","true","NULL","1078","0"
"1358","9003396","2015-03-13T14:09:46.418","false","true","NULL","1053","0"
"1359","9003367","2015-03-13T14:09:46.418","false","true","NULL","1053","0"
"1360","9004228","2015-03-13T14:09:46.418","false","true","NULL","1053","0"
"1679","9004735","2015-07-01T16:13:40.879","false","true","NULL","1078","0"
"1683","9004209","2015-07-01T16:19:41.533","false","true","NULL","1510","0"
"1684","9004541","2015-07-01T16:20:05.019","false","true","NULL","1510","0"
"1364","9004385","2015-03-13T14:09:46.418","false","true","NULL","1159","0"
"1365","9003396","2015-03-13T14:09:46.418","false","true","NULL","1054","0"
"1366","9003367","2015-03-13T14:09:46.418","false","true","NULL","1054","0"
"1367","9004228","2015-03-13T14:09:46.418","false","true","NULL","1054","0"
"1368","9005360","2015-03-13T14:09:46.419","false","true","NULL","1143","0"
"1369","9004877","2015-03-13T14:09:46.419","false","true","NULL","1143","0"
"1370","9003396","2015-03-13T14:09:46.419","false","true","NULL","1057","0"
"1371","9003367","2015-03-13T14:09:46.419","false","true","NULL","1057","0"
"1372","9004228","2015-03-13T14:09:46.419","false","true","NULL","1057","0"
"1685","9004735","2015-07-01T16:20:12.369","false","true","NULL","1510","0"
"1689","9004209","2015-07-01T16:23:09.481","false","true","NULL","1076","0"
"1539","9003631","2015-06-11T13:03:42.461","false","true","NULL","1474","0"
"1540","9004120","2015-06-11T13:04:07.353","false","true","NULL","1474","0"
"1046","9005637","2015-03-13T14:08:32.387","true","false","9003495","NULL","1"
"1146","9002333","2015-03-13T14:08:32.393","true","false","9005459","NULL","1"
"1769","9005324","2015-08-17T08:39:33.871","false","true","NULL","1763","0"
"1381","9004385","2015-03-13T14:09:46.419","false","true","NULL","1155","0"
"1551","9004612","2015-06-12T08:06:07.090","false","true","NULL","1147","0"
"1690","9004541","2015-07-01T16:23:18.728","false","true","NULL","1076","0"
"1553","9004662","2015-06-12T08:06:50.183","false","true","NULL","1147","0"
"1558","9004877","2015-06-12T08:14:44.852","false","true","NULL","1139","0"
"1562","9004877","2015-06-12T08:17:44.497","false","true","NULL","1137","0"
"1563","9004662","2015-06-12T08:18:08.128","false","true","NULL","1137","0"
"1394","9005128","2015-03-13T14:09:46.420","false","true","NULL","1130","0"
"1395","9003845","2015-03-13T14:09:46.420","false","true","NULL","1130","0"
"1691","9004735","2015-07-01T16:23:31.172","false","true","NULL","1076","0"
"1397","9002987","2015-03-13T14:09:46.420","false","true","NULL","1102","0"
"1071","9002990","2015-03-13T14:08:32.388","true","false","9005138","NULL","3"
"1704","9005676","2015-07-22T07:21:27.842","false","true","NULL","1702","0"
"1693","9004541","2015-07-01T16:25:41.285","false","true","NULL","1074","0"
"1564","9004612","2015-06-12T08:21:14.048","false","true","NULL","1138","0"
"1699","9005468","2015-07-21T09:20:28.067","false","true","NULL","1083","0"
"1403","9003623","2015-03-13T14:09:46.420","false","true","NULL","1069","0"
"1404","9005374","2015-03-13T14:09:46.420","false","true","NULL","1069","0"
"1405","9004274","2015-03-13T14:09:46.420","false","true","NULL","1115","0"
"1408","9004459","2015-03-13T14:09:46.420","false","true","NULL","1154","0"
"1409","9003232","2015-03-13T14:09:46.420","false","true","NULL","1154","0"
"1410","9004125","2015-03-13T14:09:46.420","false","true","NULL","1122","0"
"1411","9003848","2015-03-13T14:09:46.421","false","true","NULL","1122","0"
"1412","9003623","2015-03-13T14:09:46.421","false","true","NULL","1071","0"
"1413","9005374","2015-03-13T14:09:46.421","false","true","NULL","1071","0"
"1567","9004612","2015-06-12T08:26:36.910","false","true","NULL","1172","0"
"1415","9003396","2015-03-13T14:09:46.421","false","true","NULL","1058","0"
"1416","9003367","2015-03-13T14:09:46.421","false","true","NULL","1058","0"
"1417","9004228","2015-03-13T14:09:46.421","false","true","NULL","1058","0"
"1418","9003396","2015-03-13T14:09:46.421","false","true","NULL","1056","0"
"1419","9003367","2015-03-13T14:09:46.421","false","true","NULL","1056","0"
"1420","9004228","2015-03-13T14:09:46.421","false","true","NULL","1056","0"
"1421","9003396","2015-03-13T14:09:46.421","false","true","NULL","1051","0"
"1422","9003367","2015-03-13T14:09:46.421","false","true","NULL","1051","0"
"1423","9004228","2015-03-13T14:09:46.421","false","true","NULL","1051","0"
"1424","9003396","2015-03-13T14:09:46.421","false","true","NULL","1055","0"
"1425","9003367","2015-03-13T14:09:46.421","false","true","NULL","1055","0"
"1426","9004228","2015-03-13T14:09:46.421","false","true","NULL","1055","0"
"1427","9003623","2015-03-13T14:09:46.421","false","true","NULL","1070","0"
"1428","9005374","2015-03-13T14:09:46.422","false","true","NULL","1070","0"
"1429","9004335","2015-03-13T14:09:46.422","false","true","NULL","1146","0"
"1430","9004494","2015-03-16T08:20:51.678","false","true","NULL","1117","0"
"1432","9004494","2015-03-16T10:26:34.214","false","true","NULL","1118","0"
"1433","9004494","2015-03-16T14:57:54.394","false","true","NULL","1175","0"
"1785","9004340","2015-09-02T10:27:21.656","true","false","NULL","NULL","0"
"1474","9005668","2015-05-29T13:26:25.604","true","false","9005637","NULL","1"
"1568","9004662","2015-06-12T08:26:51.497","false","true","NULL","1172","0"
"1437","9004830","2015-03-23T14:48:38.459","false","true","NULL","1084","0"
"1570","9004612","2015-06-12T08:29:31.499","false","true","NULL","1148","0"
"1441","9005660","2015-03-25T14:14:09.197","true","false","NULL","NULL","0"
"1571","9005324","2015-06-12T08:29:44.224","false","true","NULL","1148","0"
"1576","9005626","2015-06-12T13:12:01.978","true","false","NULL","NULL","0"
"1445","9003281","2015-03-30T14:40:04.644","false","true","NULL","1067","0"
"1703","9005017","2015-07-22T07:21:04.464","false","true","NULL","1702","0"
"1776","9003839","2015-08-21T08:52:35.897","false","true","NULL","1113","0"
"1786","9004145","2015-09-02T10:27:33.925","true","false","NULL","NULL","0"
"1578","9005028","2015-06-12T14:42:55.231","false","true","NULL","1061","0"
"1450","9005028","2015-03-31T07:28:25.996","false","true","NULL","1440","0"
"1440","9003281","2015-03-25T14:06:56.738","true","false","9003327","NULL","1"
"1580","9005672","2015-06-15T08:21:07.482","false","true","NULL","1163","0"
"1165","9005254","2015-03-13T14:08:32.394","true","false","9003289","NULL","1"
"1460","9005010","2015-04-14T07:56:25.786","false","true","NULL","1453","0"
"1453","9003480","2015-04-02T10:37:49.355","true","false","NULL","NULL","2"
"1454","9004459","2015-04-03T06:52:53.373","false","true","NULL","1453","0"
"1591","9003160","2015-06-22T07:57:35.969","false","true","NULL","1587","0"
"1592","9005270","2015-06-22T07:59:43.282","false","true","NULL","1587","0"
"1593","9003318","2015-06-22T08:13:35.074","false","true","NULL","1587","0"
"1458","9003281","2015-04-08T16:29:01.941","false","true","NULL","1059","0"
"1595","9005226","2015-06-22T14:33:23.633","false","true","NULL","1120","0"
"1600","9003495","2015-06-23T13:51:24.393","false","true","NULL","1046","0"
