"id_droits_agent","id_agent","code_service","libelle_service","date_modification","version"
"4595","9004131","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4596","9004645","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4597","9004474","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4598","9004491","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4599","9003339","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4600","9003869","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4605","9002984","DGBA","DAEDU Service de la Gestion des Actes d'Urbanisme","2015-03-13T14:09:03.513","1"
"4516","9005347","DFDF","SCF Section Centre d'Art","2015-03-13T14:09:03.510","2"
"4517","9005525","DFDF","SCF Section Centre d'Art","2015-03-13T14:09:03.510","2"
"4518","9003262","DFDF","SCF Section Centre d'Art","2015-03-13T14:09:03.510","2"
"4534","9004401","DFEA","DJCS Service Municipal des Sports","2015-03-13T14:09:03.511","1"
"4618","9005227","DGDA","DAEDU Service de l'Insertion Urbaine","2015-03-13T14:09:03.513","0"
"4619","9005303","DGDA","DAEDU Service de l'Insertion Urbaine","2015-03-13T14:09:03.513","0"
"4613","9003863","DGCA","DAEDU Service du Développement Urbain","2015-03-13T14:09:03.513","1"
"4617","9003810","DGDA","DAEDU Service de l'Insertion Urbaine","2015-03-13T14:09:03.513","1"
"4678","9003685","DHBA","DSIS Pôle Administratif et Budgétaire et Ressources Humaines","2015-03-13T14:09:03.515","0"
"4679","9005226","DHBA","DSIS Pôle Administratif et Budgétaire et Ressources Humaines","2015-03-13T14:09:03.515","0"
"4680","9004125","DHBA","DSIS Pôle Administratif et Budgétaire et Ressources Humaines","2015-03-13T14:09:03.515","0"
"4614","9005258","DGCA","DAEDU Service du Développement Urbain","2015-03-13T14:09:03.513","1"
"4615","9005437","DGCA","DAEDU Service du Développement Urbain","2015-03-13T14:09:03.513","1"
"4616","9005048","DGCA","DAEDU Service du Développement Urbain","2015-03-13T14:09:03.513","1"
"4606","9003802","DGBA","DAEDU Service de la Gestion des Actes d'Urbanisme","2015-03-13T14:09:03.513","1"
"4607","9004637","DGBA","DAEDU Service de la Gestion des Actes d'Urbanisme","2015-03-13T14:09:03.513","1"
"4608","9003957","DGBA","DAEDU Service de la Gestion des Actes d'Urbanisme","2015-03-13T14:09:03.513","1"
"4609","9002905","DGBA","DAEDU Service de la Gestion des Actes d'Urbanisme","2015-03-13T14:09:03.513","1"
"4610","9004826","DGBA","DAEDU Service de la Gestion des Actes d'Urbanisme","2015-03-13T14:09:03.513","1"
"4611","9005275","DGBA","DAEDU Service de la Gestion des Actes d'Urbanisme","2015-03-13T14:09:03.513","1"
"4612","9005267","DGBA","DAEDU Service de la Gestion des Actes d'Urbanisme","2015-03-13T14:09:03.513","1"
"4681","9003848","DHBA","DSIS Pôle Administratif et Budgétaire et Ressources Humaines","2015-03-13T14:09:03.515","0"
"4682","9004302","DHBA","DSIS Pôle Administratif et Budgétaire et Ressources Humaines","2015-03-13T14:09:03.515","0"
"4685","9003020","DHGC","PPO Section Prévision","2015-03-13T14:09:03.515","0"
"4691","9004348","DHHB","MH Section SPV","2015-03-13T14:09:03.516","0"
"4692","9003137","DHHC","MH Section Formation Continue et Exercices","2015-03-13T14:09:03.516","0"
"4693","9003274","DHHD","MH Section Formation Spécialités et Avancement","2015-03-13T14:09:03.516","0"
"4694","9003914","DHHE","MH Section Carrières, Protocole et Jeunes sapeurs-pompiers","2015-03-13T14:09:03.516","0"
"4696","9002222","DHIB","MM Section Bâtiment","2015-03-13T14:09:03.516","0"
"4697","9002891","DHIC","MM Section Matériels et Habillement","2015-03-13T14:09:03.516","0"
"4698","9003037","DHID","MM Section Matériel Roulant","2015-03-13T14:09:03.516","0"
"4700","9004802","EAAB","DGST Subdivision Opérationnelle de la Construction","2015-03-13T14:09:03.516","0"
"4701","9005393","EAAB","DGST Subdivision Opérationnelle de la Construction","2015-03-13T14:09:03.516","0"
"4702","9005392","EAAB","DGST Subdivision Opérationnelle de la Construction","2015-03-13T14:09:03.516","0"
"4703","9004949","EAAB","DGST Subdivision Opérationnelle de la Construction","2015-03-13T14:09:03.516","0"
"4706","9005179","EABD","SCAF Section Proximité Intervention","2015-03-13T14:09:03.516","0"
"4708","9003883","EABD","SCAF Section Proximité Intervention","2015-03-13T14:09:03.516","0"
"4709","9005534","EABD","SCAF Section Proximité Intervention","2015-03-13T14:09:03.516","0"
"4710","9004661","EABD","SCAF Section Proximité Intervention","2015-03-13T14:09:03.516","0"
"4711","9004684","EABD","SCAF Section Proximité Intervention","2015-03-13T14:09:03.516","0"
