"id_pointage_calcule","id_agent","date_lundi","date_debut","date_fin","quantite","id_ref_type_pointage","id_ref_prime","etat","id_ventil_date","version"
"13784","9002903","2015-10-05T00:00:00.000","2015-10-07T00:00:00.000","NULL","1","3","6","9","12","3"
"13785","9002903","2015-10-26T00:00:00.000","2015-10-28T00:00:00.000","NULL","1","3","6","9","12","3"
"10591","9004226","2015-08-10T00:00:00.000","2015-08-11T00:00:00.000","NULL","1","3","6","9","8","3"
"10592","9004226","2015-08-17T00:00:00.000","2015-08-23T00:00:00.000","NULL","480","3","1","9","8","3"
"10593","9004226","2015-08-17T00:00:00.000","2015-08-23T00:00:00.000","NULL","480","3","4","9","8","3"
"10594","9004226","2015-08-17T00:00:00.000","2015-08-22T00:00:00.000","NULL","1","3","6","9","8","3"
"10595","9004226","2015-08-17T00:00:00.000","2015-08-21T00:00:00.000","NULL","1","3","6","9","8","3"
"10596","9004226","2015-08-17T00:00:00.000","2015-08-17T00:00:00.000","NULL","1","3","6","9","8","3"
"13812","9002790","2015-09-28T00:00:00.000","2015-09-30T00:00:00.000","NULL","1","3","6","9","12","3"
"12154","9002790","2015-08-31T00:00:00.000","2015-09-02T00:00:00.000","NULL","1","3","6","9","12","6"
"14117","9005310","2015-10-05T00:00:00.000","2015-10-11T00:00:00.000","NULL","480","3","4","9","14","6"
"12155","9002790","2015-09-07T00:00:00.000","2015-09-09T00:00:00.000","NULL","1","3","6","9","12","6"
"13836","9003507","2015-09-28T00:00:00.000","2015-10-01T00:00:00.000","NULL","480","3","1","9","12","3"
"13837","9003507","2015-09-28T00:00:00.000","2015-10-04T00:00:00.000","NULL","480","3","4","9","12","3"
"11422","9003719","2015-09-21T00:00:00.000","2015-09-25T00:00:00.000","NULL","480","3","4","9","10","3"
"10526","9005316","2015-08-17T00:00:00.000","2015-08-21T00:00:00.000","NULL","1","3","6","9","8","3"
"10527","9005316","2015-08-17T00:00:00.000","2015-08-17T00:00:00.000","NULL","1","3","6","9","8","3"
"10495","9005316","2015-07-06T00:00:00.000","2015-07-12T00:00:00.000","NULL","480","3","4","9","8","3"
"6780","9005311","2015-07-20T00:00:00.000","2015-07-23T00:00:00.000","NULL","480","3","1","9","8","6"
"6779","9005311","2015-07-20T00:00:00.000","2015-07-24T00:00:00.000","NULL","360","3","1","9","8","6"
"11423","9003719","2015-09-21T00:00:00.000","2015-09-26T00:00:00.000","NULL","1","3","6","9","10","3"
"11424","9003719","2015-09-21T00:00:00.000","2015-09-25T00:00:00.000","NULL","1","3","6","9","10","3"
"11425","9003719","2015-09-28T00:00:00.000","2015-09-30T00:00:00.000","NULL","1","3","6","9","10","3"
"20968","9003146","2015-12-21T00:00:00.000","2015-12-25T00:00:00.000","NULL","360","3","1","9","16","2"
"6798","9003368","2015-06-29T00:00:00.000","2015-07-03T00:00:00.000","NULL","1","3","6","9","8","6"
"6799","9003368","2015-06-29T00:00:00.000","2015-07-02T00:00:00.000","NULL","1","3","6","9","8","6"
"6781","9005311","2015-07-20T00:00:00.000","2015-07-26T00:00:00.000","NULL","480","3","4","9","8","6"
"6783","9005311","2015-07-20T00:00:00.000","2015-07-22T00:00:00.000","NULL","1","3","6","9","8","6"
"6784","9005311","2015-07-20T00:00:00.000","2015-07-21T00:00:00.000","NULL","1","3","6","9","8","6"
"6782","9005311","2015-07-20T00:00:00.000","2015-07-26T00:00:00.000","NULL","1","3","6","9","8","6"
"10496","9005316","2015-07-06T00:00:00.000","2015-07-12T00:00:00.000","NULL","1","3","6","9","8","3"
"10497","9005316","2015-07-06T00:00:00.000","2015-07-09T00:00:00.000","NULL","1","3","6","9","8","3"
