"id_rc_histo","id_agent","date_lundi","m_sup","m_base_horaire","version"
"311","9004557","2015-08-31T00:00:00.000","0","2340","0"
"312","9004557","2015-09-07T00:00:00.000","0","2340","0"
"313","9004557","2015-09-14T00:00:00.000","0","2340","0"
"316","9004594","2015-08-24T00:00:00.000","180","2340","0"
"317","9004594","2015-08-31T00:00:00.000","120","2340","0"
"318","9004594","2015-09-07T00:00:00.000","720","2340","0"
"319","9004594","2015-09-14T00:00:00.000","540","2340","0"
"321","9003861","2015-08-31T00:00:00.000","180","2340","0"
"326","9004548","2015-08-31T00:00:00.000","180","2340","0"
"328","9004079","2015-09-07T00:00:00.000","300","2340","0"
"329","9004079","2015-10-05T00:00:00.000","240","2340","0"
"331","9004558","2015-08-17T00:00:00.000","0","2340","0"
"332","9004558","2015-08-24T00:00:00.000","0","2340","0"
"333","9004558","2015-09-07T00:00:00.000","15","2340","0"
"334","9004558","2015-09-14T00:00:00.000","0","2340","0"
"338","9005734","2015-09-07T00:00:00.000","120","2340","0"
"339","9005734","2015-09-14T00:00:00.000","120","2340","0"
"340","9005734","2015-09-28T00:00:00.000","90","2340","0"
"342","9003590","2015-10-12T00:00:00.000","300","2340","0"
"344","9004491","2015-09-28T00:00:00.000","240","2340","0"
"345","9004491","2015-10-12T00:00:00.000","360","2340","0"
"346","9004491","2015-10-19T00:00:00.000","390","2340","0"
"349","9005013","2015-09-28T00:00:00.000","270","2340","0"
"350","9005013","2015-10-19T00:00:00.000","360","2340","0"
"355","9005491","2015-09-28T00:00:00.000","30","2340","0"
"357","9003578","2015-10-05T00:00:00.000","45","2340","0"
"359","9004522","2015-10-05T00:00:00.000","255","2340","0"
"362","9005492","2015-10-05T00:00:00.000","60","2340","0"
"364","9004142","2015-10-12T00:00:00.000","60","2340","0"
"365","9004142","2015-10-19T00:00:00.000","90","2340","0"
"369","9005195","2015-10-12T00:00:00.000","60","2340","0"
"372","9003869","2015-10-19T00:00:00.000","390","2340","0"
"374","9004630","2015-10-19T00:00:00.000","90","2340","0"
"378","9005675","2015-10-26T00:00:00.000","90","2340","0"
"383","9004447","2015-09-28T00:00:00.000","270","2340","0"
"387","9002607","2015-10-05T00:00:00.000","300","2340","0"
"390","9004634","2015-10-05T00:00:00.000","255","2340","0"
